freq	word
98885	기술
29876	개발
23515	분야
22371	분석
20304	위한
20132	기반
18725	있음
18519	시장
14439	것으로
13782	국내
11979	활용
11791	통해
11168	제공
11165	제품
10616	요소기술
10608	다양
10568	중소기업
10552	관련
10009	지원
9941	주요
9583	an
9391	관리
8984	적용
8884	사용
8754	필요
8437	기업
7881	미국
6861	구축
6685	기능
6598	중심
6524	출원인
6335	진행
6307	위해
6273	출원
6188	장치
6184	전망
6147	증가
6145	가장
6141	이용
6115	확보
5938	통한
5861	경우
5843	연구개발
5788	기술개발
5682	연구
5520	도출
5478	최근
5233	in
5216	기존
5187	세계
5178	방법
5171	성장
5124	달러
5093	포함
5040	일본
4940	출처
4688	수준
4538	이용한
4497	규모
4359	핵심기술
4345	전문가
4308	기술이
4108	method
4073	구분
4073	통합
4030	구성
3909	추진
3898	한국
3896	나타
3871	구현
3830	글로벌
3828	대상
3674	형태
3572	상황
3569	예상
3514	업체
3504	발생
3478	향상
3475	나타남
3452	대기업
3406	구조
3297	사업
3278	경쟁력
3218	전문가추천
3161	수요
3157	th
3150	연계
3125	핵심
3116	활발
3115	새로
3035	개인
3017	특허논문
3011	상태
3000	특성
2999	해외
2983	수행
2978	정부
2884	요구
2873	집중
2868	선정
2863	삼성전자
2856	유럽
2851	전체
2842	대응
2791	변화
2760	기준
2759	핵심요소기술
2756	출시
2711	성능
2692	국가
2673	기술수요
2661	범위
2644	현황
2596	평가
2559	중국
2533	정의
2529	관점
2463	저장
2455	개선
2289	있도록
2287	도입
2272	단계
2240	전략
2240	한국전자통신연구원
2235	지속적
2199	비중
2189	특징
2163	목표
2157	것이
2152	때문
2055	자료
2038	주로
2055	향후
2016	대비
1996	대부분
1995	고려
1926	로드맵
1923	결과
1923	상대적
1911	존재
1903	바탕
1896	적합
1861	해당
1852	표준
1838	인간
1819	연평균
1816	계획
1797	rd
1789	감소
1784	기술시장
1758	자동
1755	영역
1748	의미
1747	파악
1734	시장규모
1722	중요
1697	경쟁
1694	기능성
1692	교육
1686	논문
1681	기업들
1672	참여
1658	비교
1650	기술분야
1637	주도
1602	공동
1601	유지
1597	세계시장
1596	비용
1592	no
1580	효율
1579	내용
1577	공간
1548	cagr
1539	이후
1534	필요성
1523	낮은
1522	판매
1517	부족
1501	on
1497	2017년
1497	관련된
1496	방향
1488	접목
1484	국가별
1480	작업
1470	수립
1458	아직
1457	확산
1455	최종
1449	주요출원인
1445	효율적
1438	확인
1433	이동
1432	2016년
1410	요소
1410	가격
1409	공공연구기관
1401	발표
1401	기술집중도
1364	자체
1363	inc
1361	원격
1353	건물
1352	여러
1346	base
1340	육성
1340	조사
1333	효과
1332	국내시장
1327	가능성
1321	특정
1313	증대
1312	협력
1311	목적
1310	ge
1305	고객
1303	비즈니스
1302	ibm
1296	일부
1295	소비자
1289	기획
1266	우수
1265	않은
1262	역할
1258	시작
1253	정도
1232	외부
1231	점유율
1226	전략제품
1224	추정
1202	지역
1194	보이고
1194	기술력
1193	주요특허
1190	공급망
1188	2015년
1182	과정
1178	최대
1176	인력
1176	확정
1175	intel
1174	실제
1163	고속
1158	대규모
1157	usin
1155	2018년
1149	미래
1146	개요
1146	관심
1136	기대
1136	예정
1133	공개
1124	고도화
1118	시장대응전략
1115	전환
1108	세부
1107	명칭
1105	제거
1097	해결
1096	이러
1095	독일
1091	제시
1090	선진국
1085	신재생에너지
1077	신규
1060	전달
1052	부분
1048	전문
1037	초기
1037	사례
1026	기회
1026	후방산업
1015	조성
1014	다중
1011	마련
1008	2020년
998	미흡
998	대표적
997	communication
995	이전
994	수입
988	원천기술
981	장점
979	사람
977	접근
973	시설
973	2구간2015년2019년
971	측면
971	영향
969	1구간2011년2014년
964	기록
964	기술로드맵
960	활동
958	현장
956	전자부품연구원
948	움직임
942	lg전자
940	세계적
939	용이
939	추적
935	제품분류
932	구글
927	내부
925	출력
920	출원량
919	혁신
913	크기
907	안정성
907	발굴
906	상품
906	이하
904	사이
892	표현
888	se
887	등장
884	규제
884	개념
884	대체
883	산업혁명
874	최소화
873	반응
871	이외
866	단순
866	빌딩
864	선도
863	최초
859	대형
852	설정
849	반영
846	상위
844	추가
841	백만
839	의존
836	수출
832	대학
830	ma
828	실내
826	조정
823	특허출원
822	기술적
818	한계
814	주식회사
811	획득
809	종류
805	특화
805	수치
804	st
803	산업구조
802	업체들
802	유사
801	중이
800	출원현황
800	입력
799	소비
793	적극적
792	기법
791	가지고
789	점차
789	검색
787	국산화
786	연차별
785	정확
782	리스트
779	산업통상자원부
777	지수
770	검토
767	평균
765	매출
762	과제
761	실현
759	google
758	일반적
757	객체
755	삼성
754	선점
753	com
752	연관도
751	구성된
749	친환경
749	결정
748	일반
747	더욱
