freq	word
98904	기술
29880	개발
24634	시스템
23516	분야
22378	분석
20304	위한
20134	기반
18728	있음
18524	시장
14439	것으로
13782	국내
13242	산업
12758	가능
11981	활용
11791	통해
11342	특허
11168	제공
11167	제품
10616	요소기술
10608	다양
10568	중소기업
10552	관련
10009	지원
9941	주요
9397	관리
9331	정보
8984	적용
8886	사용
8754	필요
7884	미국
7762	환경
7061	사용자
6995	보안
6882	소재
6861	구축
6689	기능
6598	중심
6524	출원인
6335	진행
6307	위해
6273	출원
6227	장비
6193	장치
6186	전망
6147	증가
6145	가장
6141	이용
6115	확보
6058	분류
5938	통한
5861	경우
5789	키워드
5682	연구
5520	도출
5478	최근
5471	동향
5375	보유
5216	기존
5187	세계
5180	방법
5171	성장
5147	실시간
5124	달러
5093	포함
5088	생산
5040	일본
5033	확대
4941	출처
4917	처리
4538	이용한
4498	규모
4316	부품
4308	기술이
4205	방식
4120	정책
4100	in
4074	통합
4073	구분
4032	구성
3909	추진
3898	한국
3896	나타
3871	구현
3675	형태
3591	수집
3589	디지털
3572	상황
3571	예상
3565	제작
3475	나타남
3408	구조
3298	사업
3293	운영
3278	경쟁력
3218	전문가추천
3183	조명
3161	수요
3150	연계
3125	핵심
3116	활발
3115	새로
3035	개인
3017	특허논문
3011	상태
3000	특성
2999	해외
2983	수행
2978	정부
2884	요구
2873	집중
2868	선정
2863	삼성전자
2856	유럽
2851	전체
2842	대응
2792	변화
2760	기준
2759	핵심요소기술
2756	출시
2737	투자
2711	성능
2710	강화
2692	국가
2673	기술수요
2661	범위
2650	단위
2644	현황
2601	기관
2599	평가
2589	In
2575	응용
2565	안전
2560	중국
2554	공급
2542	Co
2533	정의
2529	관점
2492	차지
2463	저장
2455	개선
2365	진단
2339	연동
2333	맞춤형
2289	있도록
2287	도입
2274	단계
2240	한국전자통신연구원
2235	지속적
2199	비중
2189	특징
2171	추천
2163	목표
2157	것이
2152	때문
2136	추세
2074	th
2056	자료
2049	AN
2038	주로
2030	향후
2016	대비
2008	창출
2007	생성
1996	대부분
1995	고려
1979	결합
1931	판단
1928	로드맵
1925	결과
1923	상대적
1919	차세대
1856	표준
1852	물류
1838	인간
1819	연평균
1816	계획
1797	학습
1792	RD
1789	감소
1784	기술시장
1763	method
1758	자동
1755	영역
1748	의미
1747	파악
1734	시장규모
1722	중요
1721	활성화
1703	표준화
1702	스토리지
1697	경쟁
1694	기능성
1692	교육
1686	탑재
1686	논문
1681	기업들
1672	참여
1658	비교
1650	기술분야
1645	특허동향
1637	주도
1602	공동
1601	유지
1597	세계시장
1596	비용
1588	문제
1587	co
1579	내용
1548	CAGR
1539	이후
1538	가상현실
1534	필요성
1523	낮은
1523	판매
1517	부족
1513	방지
1497	관련된
1497	2017년
1496	방향
1488	접목
1484	국가별
1482	작업
1470	수립
1458	아직
1457	확산
1455	최종
1449	주요출원인
1445	효율적
1438	확인
1432	2016년
1420	자원
1416	거래
1416	절감
1410	요소
1410	가격
1409	공공연구기관
1402	발표
1401	기술집중도
1382	생태계
1366	com
1364	자체
1352	필름
1352	여러
1340	조사
1340	육성
1338	재료
1333	분산
1333	효과
1332	국내시장
1331	진출
1330	확장
1328	가능성
1321	특정
1315	금속
1313	증대
1312	협력
1311	목적
1305	고객
1303	성장률
1297	일부
1295	소비자
1289	기획
1284	ME
1266	우수
1265	프로젝트
1265	않은
1262	역할
1259	변환
1258	시작
1254	정도
1246	검출
1241	Method
1232	외부
1231	점유율
1226	전략제품
1224	추정
1202	지역
1194	보이고
1194	기술력
1193	주요특허
1192	공급망
1188	2015년
1182	과정
1178	최대
1176	확정
1176	인력
1174	실제
1163	피부
1163	고속
1155	공백기술
1155	패턴
1155	2018년
1149	미래
1146	개요
1146	관심
1141	진입
1139	실감
1136	기대
1136	예정
1133	공개
1121	환자
1118	시장대응전략
1116	전환
1108	세부
1107	명칭
1105	제거
1097	해결
1096	이러
1095	독일
1095	온도
1091	제시
1090	선진국
1077	신규
1060	전달
1053	부분
1048	전문
1037	사례
1037	초기
1026	기회
1026	후방산업
1015	조성
1014	다중
1011	마련
1008	2020년
998	대표적
998	미흡
995	이전
994	수입
981	장점
979	사람
977	접근
973	2구간2015년2019년
973	시설
971	영향
971	측면
969	1구간2011년2014년
964	기술로드맵
964	기록
960	활동
958	현장
956	전자부품연구원
948	움직임
943	이동통신
942	LG전자
941	추적
940	세계적
939	용이
937	테스트
935	제품분류
932	구글
928	data
927	내부
925	생체
925	출력
920	출원량
919	혁신
913	크기
908	안정성
907	발굴
906	이하
906	상품
904	사이
896	US
893	강점
892	표현
887	등장
884	개념
884	규제
884	대체
877	최소화
871	이외
871	감시
866	단순
866	빌딩
864	선도
863	최초
852	설정
849	필터
849	반영
849	운용
846	상위
844	추가
840	백만
839	의존
836	수출
834	대학
827	Tech
823	특허출원
822	기술적
818	한계
814	주식회사
811	획득
809	종류
805	특화
805	수치
803	산업구조
802	업체들
802	유사
801	중이
800	출원현황
800	기법
800	입력
799	소비
793	정밀
793	적극적
792	Intel
791	가지고
789	기술별
789	검색
789	점차
787	국산화
786	연차별
785	정확
783	결제
782	식별
782	상호작용
782	리스트
780	용량
779	산업통상자원부
777	지수
777	인체
770	검토
767	평균
765	매출
762	과제
761	실현
758	일반적
755	삼성
754	선점
