freq	word
98917	기술
30112	개발
24619	시스템
23529	분야
20304	위한
20139	기반
19256	서비스
18742	있음
18530	시장
14440	것으로
13866	국내
13246	산업
12759	가능
11982	활용
11791	통해
11345	특허
11175	제공
11168	제품
10626	요소기술
10615	중소기업
10610	다양
10555	관련
10031	지원
9994	주요
9593	an
9395	관리
8996	적용
8884	사용
8754	필요
8445	기업
8303	소프트웨어
7955	미국
7762	환경
7712	네트워크
7063	사용자
7063	사용자
6686	기능
6598	중심
6568	출원인
6348	진행
6275	출원
6149	증가
6145	가장
6141	이용
6126	확보
5938	통한
5861	경우
5849	연구개발
5813	기술개발
5788	키워드
5709	연구
5521	도출
5492	최근
5487	동향
5376	보유
5298	달러
5243	in
5220	기존
5205	세계
5190	성장
5179	방법
5098	포함
5089	생산
5088	일본
5044	확대
4976	출처
4916	처리
4817	인식
4712	수준
4538	이용한
4510	규모
4400	기기
4360	핵심기술
4345	전문가
4316	부품
4308	기술이
4308	융합
4195	방식
4111	method
4078	구분
4032	구성
3945	추진
3923	한국
3835	글로벌
3734	지능형
3477	나타남
3453	대기업
3218	전문가추천
3161	수요
3150	연계
3133	5년
3116	활발
3115	새로
3051	개인
3017	특허논문
3011	상태
3002	해외
3001	특성
2992	정부
2985	수행
2884	요구
2880	삼성전자
2877	집중
2877	선정
2872	유럽
2852	전체
2842	대응
2795	변화
2774	출시
2765	기준
2759	핵심요소기술
2747	투자
2695	국가
2674	기술수요
2661	범위
2653	현황
2650	단위
2644	전송
2602	기관
2598	평가
2594	중국
2536	관점
2534	정의
2494	차지
2439	th
2298	도입
2289	있도록
2270	한국전자통신연구원
2237	지속적
2204	비중
2171	추천
2169	목표
2157	것이
2152	때문
2137	추세
2126	co
2038	주로
2031	향후
2020	대비
2000	대부분
1995	고려
1934	로드맵
1923	결과
1923	상대적
1913	형성
1911	존재
1903	바탕
1861	해당
1858	표준
1844	계획
1839	인간
1821	연평균
1800	rd
1792	감소
1784	기술시장
1759	영역
1748	의미
1747	파악
1735	시장규모
1722	중요
1688	탑재
1687	논문
1683	기업들
1673	참여
1658	비교
1657	하드웨어
1657	us
1650	기술분야
1645	특허동향
1638	주도
1632	프로그램
1622	no
1602	유지
1602	공동
1599	가상
1598	세계시장
1554	cagr
1543	이후
1534	필요성
1524	판매
1523	낮은
1519	부족
1510	수립
1505	국가별
1482	작업
1473	발표
1464	확산
1458	아직
1455	최종
1449	주요출원인
1445	효율적
1438	확인
1409	공공연구기관
1401	기술집중도
1370	inc
1332	국내시장
1321	특정
1319	성장률
1316	일부
1315	증대
1312	목적
1312	ibm
1312	ge
1308	고객
1303	비즈니스
1278	정도
1266	탐지
1265	시작
1265	않은
1264	역할
1253	변환
1242	점유율
1226	전략제품
1194	보이고
1193	주요특허
1184	최대
1182	과정
1179	확정
1179	intel
1175	실제
1157	usin
1116	전환
1114	백만
1118	시장대응전략
1107	명칭
1106	독일
1099	이러
1094	선진국
1094	제시
1060	전달
1054	년부터
1016	억원
997	이전
996	수입
981	장점
979	사람
965	기술로드맵
965	기록
961	전자부품연구원
960	활동
954	lg전자
942	이하
941	제품분류
941	세계적
939	용이
936	구글
928	크기
923	혁신
921	패키징
920	출원량
907	발굴
904	사이
892	표현
886	se
884	개념
884	대체
883	산업혁명
873	이외
863	ma
863	최초
846	상위
845	2년
844	추가
836	3년
836	수출
823	특허출원
822	기술적
818	한계
814	주식회사
812	획득
805	과제
803	산업구조
802	업체들
801	중이
800	출원현황
796	fi
793	적극적
792	기법
791	가지고
789	time
789	국산화
789	점차
789	기술별
786	산업통상자원부
786	연차별
782	리스트
772	검토
770	평균
769	매출
768	23년
766	google
762	실현
759	일반적
758	com
757	삼성
754	선점
752	설립
751	구성된
749	일반
747	더욱
746	어려움
744	향상시
743	시도
743	인수
740	꾸준
735	매출액
735	st
735	양산
733	감성
732	산학연
732	의견
731	국내외
725	치열
723	급격
721	user
719	효과적
715	위주
715	패키지
715	노력
714	경험
713	부착
708	조절
707	과학기술정보통신부
701	분야별
700	표시
700	마케팅
692	관계
690	세부기술
688	회사
685	종합
684	년간
681	업무
679	주변
676	id
673	등록번호
672	등록
672	주력
671	시대
666	기술이전
664	효율성
664	상호
662	체계
659	차원
655	kt
649	ic
648	기술적용분야
647	부문
647	약점
646	미만
645	보임
642	능력
642	techno
622	22년
622	ld
618	성공
616	교수
616	대화
615	최종목표
615	차이
615	전용
592	신기술
590	경쟁기술
586	기술들
523	요소기술별
508	한국생산기술연구원
495	기술이전가능
493	기술체계
457	투입기술
446	기술요구사항
446	기반기술
433	기술수준
428	한국과학기술원
418	기술혁신
384	기술특허분석
359	기술격차
348	기술인
337	특허기술
319	한국과학기술연구원
314	융합기술
302	기술환경분석
299	기술개발시급성
299	기술개발파급성
290	한국광기술원
286	한국에너지기술연구원
259	기술경쟁력
257	기술개발동향
233	응용기술
214	기술분류
201	관리기술
199	기술동향
196	기술개발트렌드
195	개발기술
185	기술환경
173	산업기술
161	기술개요
160	생산기술
152	연동기술
146	과학기술
138	기술개발로드맵
131	감지기술
128	기술지원
125	제작기술
123	기술내용
123	관심기술
123	기술인프라
121	기술트리
121	기술관련
118	기술순환주기
116	평가기술
115	기술수명주기
114	주력기술
113	기술수요조사
112	진단기술
110	기술개발사업
109	기술사업
103	기술발전
98	한국건설기술연구원
97	관련기술
93	한국과학기술정보연구
93	기술성숙
91	공지기술을
91	통합기술
88	울산과학기술원
87	ict기술
87	기술진입장벽
86	저장기술
83	기술독점
82	운영기술
81	한국산업기술진흥원
81	무선통신기술
80	한국산업기술평가관리
79	광주과학기술원
79	나노종합기술원
74	적용기술
70	정보통신기술진흥센터
69	기술a
68	정보통신기술
67	기술진입
65	전문기술
64	기술기반
63	기술e
63	기술경제연구본부
62	향상기술
62	기술역량
61	기술c
60	한국에너지기술평가원
60	기술표준
58	인증기술
58	대응기술
58	기술b
58	식품적용기술
58	연결기술
56	구현기술
56	기술d
55	지능정보기술
51	표준기술
50	기술문서
48	기술국
48	기술f
48	한국나노기술원
48	서울과학기술대학교
46	연계기술
