word	freq
서비스	1430
통해	566
제공	520
회사	420
기반	385
시장	357
운영	285
새로	283
만들어	273
시작	248
국내	230
사람들	226
선정	222
사람	221
필요	211
해결	205
있도록	203
설립	202
문제	192
세상	178
생각	163
진행	162
바탕	154
한국	152
기존	151
가지고	143
이용	127
제공하고	127
런칭	126
사용자	123
소비자	118
고민	117
기능	117
최고	114
세계	113
미국	110
창업	106
구성	106
노력	105
해외	104
방식	103
대표	103
관련	102
소개	96
과정	90
누구나	90
대한민국	90
최초	87
행복	86
전문가	85
인정	82
가격	81
분들	81
지금	80
전문	79
중심	79
비전	78
미션	78
비즈니스	77
안전	76
예정	76
편리	75
소통	75
매출	74
실제	74
미래	72
중요	70
달성	70
안녕	69
방법	68
이후	68
대상	67
변화	67
때문	65
도움	65
채널	65
집중	64
전세계	63
나아	63
신뢰	63
개월	61
준비	61
성공	59
진출	59
선택	59
계획	58
수상	58
이러	58
관심	58
합리적	57
억원	55
핵심	55
자체	55
사무실	55
여러	54
현지	54
외국인	54
진행하고	53
효율적	53
지향	53
일정	53
검증	52
도와	52
만들어가야	3
심층적	3
이론	3
프레임워크	3
무결성	3
보통	3
연구과제	3
커널	3
바이너리	3
감지	3
침투	3
펌웨어	3
실습	3
목록	3
눈높이	3
모금하고	3
익명기반	3
조정	3
이어져	3
유연하고	3
국회의원	3
중고시장	3
안전성	3
심각	3
정식서비스	3
유입	3
기업연혁	3
참가기업	3
소장	3
압도적	3
번호	3
총괄	3
석박사	3
다글로	3
도메인	3
업무용	3
녹여	3
강조	3
풍경	3
피로도	3
개수	3
박람회	3
자녀	3
중동	3
월평	3
두개	3
현역	3
보충역	3
측정값	3
창조적	3
전역	3
시스템적	3
보조기	3
관찰	3
공존	3
애정	3
부부	3
투자금액	3
수리	3
스테이지랩스	3
서비스업체	3
채권	3
매도자	3
성사	3
번역사전	3
정확하고	3
사무소	3
불러	3
비대칭성	3
바다	3
고객만족	3
선사하고	3
핵심가치	3
자비스	3
과목	3
분야  3
직원  3
대우  3
안정화	3
자가	3
티칭	3
휴먼스케이프	3
평판	3
효용	3
어려움이	3
전달하고	3
각국	3
발상	3
점유율	3
고객별	3
로아인벤션랩	3
생소	3
보조	3
전원	3
책상	3
식탁	3
청정	3
고등학	3
가르	3
창구	3
장애인분	3
행태	3
머리	3
착안	3
노인	3
살펴	3
붙어	3
장판	3
막연	3
화장실	3
소액	3
핸디즈	3
추진력	3
무관	3
생산력	3
해외사업	3
다국적	3
통찰	3
신념	3
고급	3
수료	3
공공	3
증진	3
사랑하고	3
분명	3
퇴출	3
강요	3
중간	3
수평	3
최종합격	3
조립	3
육아문제	3
투명성	3
동기부여	3
탐지	3
적용하고	3
세미나	3
대화문	3
생활영어	3
푸드트럭	3
질적	3
생산하고	3
플레이키보드	3
클립	3
고생	3
인수	3
레트	3
증대	3
직관적	3
경량화	3
가게	3
주요기능	3
동아리	3
지자체	3
결제정보	3
업무공간	3
공인회계사	3
천개	3
숫자	3
사로	3
초기투자	3
셀럽	3
손해	3
대변	3
청소년	3
기계공학	3
조율	3
공사반장	3
내부적	3
모집중	3
일상적	3
마주	3
경력단절	3
천명	3
본엔젤스	3
누적회원	3
성장속	3
나타	3
명실	3
레퍼런스	3
온라인상의	3
제일기획	3
현실세계	3
대중화	3
통계학과	3
불리	3
래퍼	3
수작업	3
개인카페	3
가맹	3
몰두	3
대행업	3
사적	3
폭탄세일	3
이용가능	3
여름	3
이용시	3
손상	3
모집하고	3
코치	3
시중	3
한의계	3
우선순위	3
성조	3
한자	3
프로젝트협업솔루션	3
창의력	3
이끌어나	3
모양	3
민간	3
잘못	3
예상하고	3
의뢰인	3
경쟁자	3
등장하고	3
투자팀	3
견고	3
광명시	3
예약서비스	3
경험적	3
탐방	3
시뮬레이션	3
초고속	3
만끽	3
장르	3
기획팀	3
달아	3
코스콤	3
취급	3
나눔	3
동호회	3
총무	3
무궁무진	3
관습	3
클레슨	3
수립	3
인식하고	3
협력체계	3
통찰력	3
종목	3
속해	3
욕구	3
업무환경	3
기술자숲	3
예비사회적기업	3
기어	3
도중	3
유리	3
스테이지	3
동기화	3
사업부문	3
경쟁업체	3
얼라이언스	3
산타	3
순수	3
세심	3
들려	3
통과	3
안심하고	3
벤처인증	3
넓혀	3
세팅	3
물체	3
쿨잼컴퍼니	3
여곳	3
분실	3
퇴장	3
작성하고	3
계산	3
합작법인	3
임원진	3
테이블노트	3
자동차관련	3
차량기술	3
상호간	3
모호	3
코티에이블	3
자존감	3
라이선스	3
보험사	3
예정하고	3
의사소통	3
혼자서	3
중순	3
회원사	3
보상금	3
채용사	3
헤드헌터	3
신상	3
부여하고	3
휴식	3
어필	3
아케이드	3
파괴적	3
화폐	3
운칠기	3
운명	3
고민거리	3
매쉬업엔젤스	3
고객문의	3
교통사고	3
사고처리	3
교통문화	3
밀크티	3
곰돌	3
창업발전소	3
